Agency,Driver Area,Race,Year,Agency Type,type,statistic
Castleton Police,Castleton, Hispanic,2016,police,Traffic Stop Count,1
Castleton Police,Castleton, White,2017,police,Traffic Stop Count,931
Castleton Police,Castleton, Black,2017,police,Traffic Stop Count,14
Castleton Police,Castleton, Asian,2017,police,Traffic Stop Count,4
Castleton Police,Castleton, Hispanic,2017,police,Traffic Stop Count,6
Castleton Police,Castleton, White,2018,police,Traffic Stop Count,1147
Castleton Police,Castleton, Black,2018,police,Traffic Stop Count,22
Castleton Police,Castleton, Asian,2018,police,Traffic Stop Count,8
Castleton Police,Castleton, Hispanic,2018,police,Traffic Stop Count,12
Chester Police,Chester, White,2016,police,Traffic Stop Count,101
Chester Police,Chester, Black,2016,police,Traffic Stop Count,1
Chester Police,Chester, Asian,2016,police,Traffic Stop Count,1
Chester Police,Chester, White,2017,police,Traffic Stop Count,382
Chester Police,Chester, Black,2017,police,Traffic Stop Count,9
Chester Police,Chester, Asian,2017,police,Traffic Stop Count,12
Chester Police,Chester, Hispanic,2017,police,Traffic Stop Count,13
Chester Police,Chester, White,2018,police,Traffic Stop Count,370
Chester Police,Chester, Black,2018,police,Traffic Stop Count,6
Chester Police,Chester, Asian,2018,police,Traffic Stop Count,10
Chester Police,Chester, Hispanic,2018,police,Traffic Stop Count,11
Chittenden County Sheriff,Chittenden County, White,2015,sheriff,Traffic Stop Count,1862
Chittenden County Sheriff,Chittenden County, Black,2015,sheriff,Traffic Stop Count,32
Chittenden County Sheriff,Chittenden County, Asian,2015,sheriff,Traffic Stop Count,25
Chittenden County Sheriff,Chittenden County, White,2016,sheriff,Traffic Stop Count,2208
Chittenden County Sheriff,Chittenden County, Black,2016,sheriff,Traffic Stop Count,69
Chittenden County Sheriff,Chittenden County, Asian,2016,sheriff,Traffic Stop Count,29
Chittenden County Sheriff,Chittenden County, White,2017,sheriff,Traffic Stop Count,1694
Chittenden County Sheriff,Chittenden County, Black,2017,sheriff,Traffic Stop Count,53
Chittenden County Sheriff,Chittenden County, Asian,2017,sheriff,Traffic Stop Count,25
Chittenden County Sheriff,Chittenden County, White,2018,sheriff,Traffic Stop Count,2109
Chittenden County Sheriff,Chittenden County, Black,2018,sheriff,Traffic Stop Count,51
Chittenden County Sheriff,Chittenden County, Asian,2018,sheriff,Traffic Stop Count,29
Chittenden County Sheriff,Chittenden County, Hispanic,2018,sheriff,Traffic Stop Count,25
Colchester Police,Colchester, White,2014,police,Traffic Stop Count,3091
Colchester Police,Colchester, Black,2014,police,Traffic Stop Count,113
Colchester Police,Colchester, Asian,2014,police,Traffic Stop Count,41
Colchester Police,Colchester, Hispanic,2014,police,Traffic Stop Count,12
Colchester Police,Colchester, White,2015,police,Traffic Stop Count,3371
Colchester Police,Colchester, Black,2015,police,Traffic Stop Count,121
Colchester Police,Colchester, Asian,2015,police,Traffic Stop Count,62
Colchester Police,Colchester, Hispanic,2015,police,Traffic Stop Count,26
Colchester Police,Colchester, White,2016,police,Traffic Stop Count,2607
Colchester Police,Colchester, Black,2016,police,Traffic Stop Count,90
Colchester Police,Colchester, Asian,2016,police,Traffic Stop Count,62
Colchester Police,Colchester, Hispanic,2016,police,Traffic Stop Count,20
Colchester Police,Colchester, White,2017,police,Traffic Stop Count,2318
Colchester Police,Colchester, Black,2017,police,Traffic Stop Count,96
Colchester Police,Colchester, Asian,2017,police,Traffic Stop Count,53
Colchester Police,Colchester, Hispanic,2017,police,Traffic Stop Count,11
Colchester Police,Colchester, White,2018,police,Traffic Stop Count,3638
Colchester Police,Colchester, Black,2018,police,Traffic Stop Count,189
Colchester Police,Colchester, Asian,2018,police,Traffic Stop Count,85
Colchester Police,Colchester, Hispanic,2018,police,Traffic Stop Count,19
Colchester Police,Colchester, White,2019,police,Traffic Stop Count,2775
Colchester Police,Colchester, Black,2019,police,Traffic Stop Count,192
Colchester Police,Colchester, Asian,2019,police,Traffic Stop Count,72
Colchester Police,Colchester, Hispanic,2019,police,Traffic Stop Count,17
Dover Police,Dover, White,2015,police,Traffic Stop Count,126
Dover Police,Dover, Black,2015,police,Traffic Stop Count,2
Dover Police,Dover, Asian,2015,police,Traffic Stop Count,2
Dover Police,Dover, Hispanic,2015,police,Traffic Stop Count,7
Dover Police,Dover, White,2016,police,Traffic Stop Count,220
Dover Police,Dover, Black,2016,police,Traffic Stop Count,7
Dover Police,Dover, Asian,2016,police,Traffic Stop Count,4
Dover Police,Dover, Hispanic,2016,police,Traffic Stop Count,12
Dover Police,Dover, White,2017,police,Traffic Stop Count,335
Dover Police,Dover, Black,2017,police,Traffic Stop Count,3
Dover Police,Dover, Asian,2017,police,Traffic Stop Count,2
Dover Police,Dover, Hispanic,2017,police,Traffic Stop Count,8
Dover Police,Dover, White,2018,police,Traffic Stop Count,299
Dover Police,Dover, Black,2018,police,Traffic Stop Count,9
Dover Police,Dover, Asian,2018,police,Traffic Stop Count,5
